spelling,IPA,pronunciation
kitten,kɪtən,k1ten
kitty,kɪti,k1ti
kiwi,kiwi,kiwi
klan,klæn,kl@n
knack,næk,n@k
knead,nid,nid
knee,ni,ni
kneecap,nikæp,nik@p
kneel,nil,nil
knees,niz,niz
knelt,nɛlt,nElt
knew,nu,nu
knife,naɪf,n5f
knight,naɪt,n5t
knit,nɪt,n1t
knitting,nɪtɪŋ,n1t1N
knob,nɑb,nab
knock,nɑk,nak
knocked,nɑkt,nakt
knocker,nɑkɚr,nak3r
knocking,nɑkɪŋ,nak1N
knoll,noʊl,nol
knot,nɑt,nat
knots,nɑts,nats
know,noʊ,no
knowing,noʊɪŋ,no1N
knowledge,nɑlɪdʒ,nal1G
known,noʊn,non
knows,noʊz,noz
knox,nɑks,naks
knuckle,nʌkəl,n^kel
knucklehead,nʌkəlhɛd,n^kelhEd
knuckles,nʌkəlz,n^kelz
koala,koʊɑlə,koale
koi,kɔɪ,k2
kong,kɔŋ,kcN
kooky,kuki,kuki
kung,kʌŋ,k^N
kyle,kaɪl,k5l
lab,læb,l@b
label,leɪbəl,l8bel
laboratory,læbrətɔri,l@bretcri
labyrinth,læbərɪnθ,l@ber1nT
lace,leɪs,l8s
lack,læk,l@k
lad,læd,l@d
ladder,lædɚr,l@d3r
ladies,leɪdiz,l8diz
lady,leɪdi,l8di
ladybug,leɪdibʌg,l8dib^g
ladylike,leɪdilaɪk,l8dil5k
lag,læg,l@g
lager,lɑgɚr,lag3r
lagoon,ləgun,legun
laid,leɪd,l8d
lain,leɪn,l8n
lake,leɪk,l8k
lamb,læm,l@m
lame,leɪm,l8m
laminate,læməneɪt,l@men8t
laminate,læmənət,l@menet
lamp,læmp,l@mp
lamplight,læmplaɪt,l@mpl5t
lance,læns,l@ns
land,lænd,l@nd
landing,lændɪŋ,l@nd1N
landlord,lændlɔrd,l@ndlcrd
lane,leɪn,l8n
language,læŋgwɪdʒ,l@Ngw1G
lap,læp,l@p
lapel,ləpɛl,lepEl
laps,læps,l@ps
lapse,læps,l@ps
lard,lɑrd,lard
large,lɑrdʒ,larG
largeness,lɑrdʒnɪs,larGn1s
larger,lɑrdʒɚr,larG3r
lark,lɑrk,lark
larry,lɛri,lEri
las,lɑs,las
lasagna,ləzɑnjə,lezanje
lascivious,ləsɪviəs,les1vies
lash,læʃ,l@S
lass,læs,l@s
last,læst,l@st
lasted,læstəd,l@sted
lasted,læstɪd,l@st1d
lasting,læstɪŋ,l@st1N
lasts,læsts,l@sts
latch,lætʃ,l@C
late,leɪt,l8t
lately,leɪtli,l8tli
later,leɪtɚr,l8t3r
latest,leɪtəst,l8test
lath,læθ,l@T
lathe,leɪð,l8D
lather,læðɚr,l@D3r
latter,lætɚr,l@t3r
lattice,lætəs,l@tes
laugh,læf,l@f
laughing,læfɪŋ,l@f1N
laughs,læfs,l@fs
laughter,læftɚr,l@ft3r
launch,lɔntʃ,lcnC
laundry,lɔndri,lcndri
laura,lɔrə,lcre
lava,lɑvə,lave
lavender,lævəndɚr,l@vend3r
law,lɔ,lc
lawn,lɔn,lcn
lawnmower,lɔnmoʊɚr,lcnmo3r
laws,lɔz,lcz
lawsuit,lɔsut,lcsut
lawyer,lɔjɚr,lcj3r
lawyers,lɔjɚrz,lcj3rz
lawyers,lɔɪɚrz,l23rz
lax,læks,l@ks
lay,leɪ,l8
layer,leɪɚr,l83r
lays,leɪz,l8z
laze,leɪz,l8z
laziness,leɪzinəs,l8zines
lazy,leɪzi,l8zi
leach,litʃ,liC
lead,lid,lid
lead,lɛd,lEd
leader,lidɚr,lid3r
leadership,lidɚrʃɪp,lid3rS1p
leading,lidɪŋ,lid1N
leads,lidz,lidz
leaf,lif,lif
leafy,lifi,lifi
league,lig,lig
leak,lik,lik
leaky,liki,liki
lean,lin,lin
leaning,linɪŋ,lin1N
leap,lip,lip
leapfrog,lipfrɔg,lipfrcg
leapt,lɛpt,lEpt
lear,lɪr,l1r
learn,lɚrn,l3rn
learnable,lɚrnəbəl,l3rnebel
learned,lɚrnd,l3rnd
learner,lɚrnɚr,l3rn3r
learning,lɚrnɪŋ,l3rn1N
lease,lis,lis
leash,liʃ,liS
least,list,list
leather,lɛðɚr,lED3r
leave,liv,liv
leaves,livz,livz
leaving,livɪŋ,liv1N
lecture,lɛktʃɚr,lEkC3r
led,lɛd,lEd
ledge,lɛdʒ,lEG
lee,li,li
leech,litʃ,liC
leek,lik,lik
leer,lɪr,l1r
left,lɛft,lEft
leftover,lɛftoʊvɚr,lEftov3r
leftovers,lɛftoʊvɚrz,lEftov3rz
lefty,lɛfti,lEfti
leg,lɛg,lEg
legacy,lɛgəsi,lEgesi
legal,ligəl,ligel
legality,ligæləti,lig@leti
legend,lɛdʒənd,lEGend
legendary,lɛdʒəndɛri,lEGendEri
legged,lɛgəd,lEged
legged,lɛgd,lEgd
legs,lɛgz,lEgz
leisure,liʒɚr,liZ3r
leisure,lɛʒɚr,lEZ3r
lemon,lɛmən,lEmen
lemonade,lɛməneɪd,lEmen8d
lend,lɛnd,lEnd
length,lɛŋθ,lENT
lens,lɛnz,lEnz
lent,lɛnt,lEnt
leo,lioʊ,lio
leopard,lɛpɚrd,lEp3rd
leprechaun,lɛpɚrkɔn,lEp3rkcn
less,lɛs,lEs
lesson,lɛsən,lEsen
lessons,lɛsənz,lEsenz
lest,lɛst,lEst
let,lɛt,lEt
letch,lɛtʃ,lEC
lethal,liθəl,liTel
lets,lɛts,lEts
letter,lɛtɚr,lEt3r
letters,lɛtɚrz,lEt3rz
letting,lɛtɪŋ,lEt1N
lettuce,lɛtəs,lEtes
level,lɛvəl,lEvel
lever,lɛvɚr,lEv3r
lever,livɚr,liv3r
lewd,lud,lud
lewis,luɪs,lu1s
liaison,lieɪzɑn,li8zan
liar,laɪɚr,l53r
liberty,lɪbɚrti,l1b3rti
librarian,laɪbrɛriən,l5brErien
library,laɪbrɛri,l5brEri
lice,laɪs,l5s
licence,laɪsəns,l5sens
license,laɪsəns,l5sens
lick,lɪk,l1k
licker,lɪkɚr,l1k3r
licorice,lɪkɚrɪʃ,l1k3r1S
lid,lɪd,l1d
lie,laɪ,l5
lied,laɪd,l5d
lien,lin,lin
lies,laɪz,l5z
lieutenant,lutɛnənt,lutEnent
life,laɪf,l5f
lifeguard,laɪfgɑrd,l5fgard
lifesaver,laɪfseɪvɚr,l5fs8v3r
lifestyle,laɪfstaɪl,l5fst5l
lifetime,laɪftaɪm,l5ft5m
lift,lɪft,l1ft
light,laɪt,l5t
lightbulb,laɪtbʌlb,l5tb^lb
lighten,laɪtən,l5ten
lighter,laɪtɚr,l5t3r
lighthouse,laɪthaʊs,l5thOs
lighting,laɪtɪŋ,l5t1N
lightly,laɪtli,l5tli
lightning,laɪtnɪŋ,l5tn1N
lights,laɪts,l5ts
lightswitch,laɪtswɪtʃ,l5tsw1C
likable,laɪkəbəl,l5kebel
like,laɪk,l5k
liked,laɪkt,l5kt
likely,laɪkli,l5kli
likes,laɪks,l5ks
liking,laɪkɪŋ,l5k1N
lilly,lɪli,l1li
lilt,lɪlt,l1lt
lily,lɪli,l1li
limb,lɪm,l1m
limbo,lɪmboʊ,l1mbo
lime,laɪm,l5m
limit,lɪmɪt,l1m1t
limited,lɪmətəd,l1meted
limited,lɪmɪtɪd,l1m1t1d
limousine,lɪməzin,l1mezin
limp,lɪmp,l1mp
lin,lɪn,l1n
lincoln,lɪŋkən,l1Nken
linda,lɪndə,l1nde
line,laɪn,l5n
lined,laɪnd,l5nd
linen,lɪnən,l1nen
liner,laɪnɚr,l5n3r
lines,laɪnz,l5nz
ling,lɪŋ,l1N
link,lɪŋk,l1Nk
linoleum,lɪnoʊliəm,l1noliem
lint,lɪnt,l1nt
lion,laɪən,l5en
lioness,laɪənəs,l5enes
lions,laɪənz,l5enz
lip,lɪp,l1p
lips,lɪps,l1ps
lipstick,lɪpstɪk,l1pst1k
liquid,lɪkwɪd,l1kw1d
liquor,lɪkɚr,l1k3r
liquored,lɪkɚrd,l1k3rd
lisle,laɪl,l5l
list,lɪst,l1st
listed,lɪstəd,l1sted
listed,lɪstɪd,l1st1d
listen,lɪsən,l1sen
listened,lɪsənd,l1send
listener,lɪsənɚr,l1sen3r
listener,lɪsnɚr,l1sn3r
listening,lɪsənɪŋ,l1sen1N
listens,lɪsənz,l1senz
lit,lɪt,l1t
literate,lɪtɚrɪt,l1t3r1t
literature,lɪtɚrətʃɚr,l1t3reC3r
lithe,laɪð,l5D
litter,lɪtɚr,l1t3r
litterbug,lɪtɚrbʌg,l1t3rb^g
little,lɪtəl,l1tel
littleness,lɪtəlnəs,l1telnes
live,laɪv,l5v
live,lɪv,l1v
lived,lɪvd,l1vd
liver,lɪvɚr,l1v3r
lives,lɪvz,l1vz
lives,laɪvz,l5vz
livestock,laɪvstɑk,l5vstak
living,lɪvɪŋ,l1v1N
lizard,lɪzɚrd,l1z3rd
load,loʊd,lod
loaded,loʊdɪd,lod1d
loaded,loʊdəd,loded
loading,loʊdɪŋ,lod1N
loaf,loʊf,lof
loan,loʊn,lon
loath,loʊθ,loT
loathe,loʊð,loD
loathing,loʊðɪŋ,loD1N
lob,lɑb,lab
lobby,lɑbi,labi
lobe,loʊb,lob
lobster,lɑbstɚr,labst3r
local,loʊkəl,lokel
location,loʊkeɪʃən,lok8Sen
lock,lɑk,lak
locked,lɑkt,lakt
locker,lɑkɚr,lak3r
locket,lɑkɪt,lak1t
locomotive,loʊkəmoʊtɪv,lokemot1v
lode,loʊd,lod
lodge,lɑdʒ,laG
loft,lɔft,lcft
log,lɔg,lcg
logan,loʊgən,logen
logic,lɑdʒɪk,laG1k
logo,loʊgoʊ,logo
loin,lɔɪn,l2n
lollipop,lɑlipɑp,lalipap
lollipop,lɑlipɑp,lalipap
london,lʌndən,l^nden
lone,loʊn,lon
loneliness,loʊnlinəs,lonlines
lonely,loʊnli,lonli
long,lɔŋ,lcN
longer,lɔŋgɚr,lcNg3r
longest,lɔŋgəst,lcNgest
longest,lɔŋgɪst,lcNg1st
longhair,lɔŋhɛr,lcNhEr
longhaired,lɔŋhɛrd,lcNhErd
look,lʊk,lUk
looked,lʊkt,lUkt
looking,lʊkɪŋ,lUk1N
lookout,lʊkaʊt,lUkOt
looks,lʊks,lUks
lookup,lʊkʌp,lUk^p
loom,lum,lum
loon,lun,lun
loony,luni,luni
loop,lup,lup
loose,lus,lus
loosen,lusən,lusen
loot,lut,lut
lop,lɑp,lap
lope,loʊp,lop
lord,lɔrd,lcrd
lore,lɔr,lcr
lose,luz,luz
loser,luzɚr,luz3r
losing,luzɪŋ,luz1N
loss,lɔs,lcs
losses,lɔsəz,lcsez
losses,lɔsɪz,lcs1z
lost,lɔst,lcst
lot,lɑt,lat
lotion,loʊʃən,loSen
lots,lɑts,lats
lottery,lɑtɚri,lat3ri
loud,laʊd,lOd
loudness,laʊdnəs,lOdnes
louis,luɪs,lu1s
louis,lui,lui
lounge,laʊndʒ,lOnG
loupe,lup,lup
louse,laʊs,lOs
lousy,laʊzi,lOzi
lovable,lʌvəbəl,l^vebel
love,lʌv,l^v
loved,lʌvd,l^vd
lovely,lʌvli,l^vli
lover,lʌvɚr,l^v3r
loves,lʌvz,l^vz
loving,lʌvɪŋ,l^v1N
low,loʊ,lo
lower,loʊɚr,lo3r
lowercase,loʊɚrkeɪs,lo3rk8s
lox,lɑks,laks
loyal,lɔɪəl,l2el
lucidity,lusɪdɪti,lus1d1ti
lucille,lusil,lusil
luck,lʌk,l^k
luckily,lʌkəli,l^keli
lucky,lʌki,l^ki
lucy,lusi,lusi
lug,lʌg,l^g
luggage,lʌgədʒ,l^geG
luggage,lʌgɪdʒ,l^g1G
luke,luk,luk
lull,lʌl,l^l
lullaby,lʌləbaɪ,l^leb5
lulu,lulu,lulu
lumbar,lʌmbɑr,l^mbar
lumber,lʌmbɚr,l^mb3r
lump,lʌmp,l^mp
lumpy,lʌmpi,l^mpi
lunch,lʌntʃ,l^nC
lunchbox,lʌntʃbɑks,l^nCbaks
luncheon,lʌntʃən,l^nCen
lunchroom,lʌntʃrum,l^nCrum
lunchtime,lʌntʃtaɪm,l^nCt5m
lung,lʌŋ,l^N
lunge,lʌndʒ,l^nG
lurch,lɚrtʃ,l3rC
lure,lʊr,lUr
lurk,lɚrk,l3rk
luscious,lʌʃəs,l^Ses
lush,lʌʃ,l^S
lust,lʌst,l^st
lute,lut,lut
luxury,lʌgzɚri,l^gz3ri
lye,laɪ,l5
lying,laɪɪŋ,l51N
lymph,lɪmf,l1mf
lynch,lɪntʃ,l1nC
lyrics,lɪrɪks,l1r1ks
ma,mɑ,ma
mac,mæk,m@k
macabre,məkɑb,mekab
macabre,məkɑbrə,mekabre
macabre,məkɑbɚr,mekab3r
macaroni,mækəroʊni,m@keroni
mace,meɪs,m8s
machine,məʃin,meSin
macho,mɑtʃoʊ,maCo
mackerel,mækɚrəl,m@k3rel
mad,mæd,m@d
madam,mædəm,m@dem
madame,mædəm,m@dem
madame,mədæm,med@m
made,meɪd,m8d
madeline,mædəlɪn,m@del1n
madman,mædmæn,m@dm@n
madonna,mədɑnə,medane
maestro,maɪstroʊ,m5stro
mafia,mɑfiə,mafie
magazine,mægəzin,m@gezin
magenta,mədʒɛntə,meGEnte
maggie,mægi,m@gi
magic,mædʒɪk,m@G1k
magical,mædʒɪkəl,m@G1kel
magician,mədʒɪʃən,meG1Sen
magnet,mægnət,m@gnet
magnolia,mægnoʊliə,m@gnolie
mahogany,məhɑgəni,mehageni
maid,meɪd,m8d
maiden,meɪdən,m8den
mail,meɪl,m8l
mailbag,meɪlbæg,m8lb@g
mailbox,meɪlbɑks,m8lbaks
mailing,meɪlɪŋ,m8l1N
mailman,meɪlmæn,m8lm@n
maim,meɪm,m8m
main,meɪn,m8n
maine,meɪn,m8n
mainly,meɪnli,m8nli
maintenance,meɪntənəns,m8ntenens
majesty,mædʒəsti,m@Gesti
major,meɪdʒɚr,m8G3r
majority,mədʒɔrəti,meGcreti
make,meɪk,m8k
maker,meɪkɚr,m8k3r
makes,meɪks,m8ks
makeup,meɪkʌp,m8k^p
making,meɪkɪŋ,m8k1N
male,meɪl,m8l
malfeasance,mælfizəns,m@lfizens
mall,mɔl,mcl
malt,mɑlt,malt
mama,mɑmə,mame
mammal,mæməl,m@mel
mammoth,mæməθ,m@meT
mammy,mæmi,m@mi
man,mæn,m@n
manage,mænədʒ,m@neG
manage,mænɪdʒ,m@n1G
managed,mænədʒd,m@neGd
managed,mænɪdʒd,m@n1Gd
manager,mænədʒɚr,m@neG3r
manager,mænɪdʒɚr,m@n1G3r
manatee,mænəti,m@neti
mane,meɪn,m8n
maneuver,mənuvɚr,menuv3r
manger,meɪndʒɚr,m8nG3r
mango,mæŋgoʊ,m@Ngo
manhole,mænhoʊl,m@nhol
manifest,mænəfɛst,m@nefEst
manner,mænɚr,m@n3r
mannered,mænɚrd,m@n3rd
manners,mænɚrz,m@n3rz
manor,mænɚr,m@n3r
manse,mæns,m@ns
mansion,mænʃən,m@nSen
mantel,mæntəl,m@ntel
manual,mænjuəl,m@njuel
many,mɛni,mEni
map,mæp,m@p
maple,meɪpəl,m8pel
maps,mæps,m@ps
mar,mɑr,mar
maraschino,mærəskinoʊ,m@reskino
marathon,mɛrəθɑn,mEreTan
marble,mɑrbəl,marbel
marc,mɑrk,mark
march,mɑrtʃ,marC
marching,mɑrtʃɪŋ,marC1N
mare,mɛr,mEr
margaret,mɑrgɚrət,marg3ret
margin,mɑrdʒən,marGen
maria,mɚriə,m3rie
marie,mɚri,m3ri
marigold,mɛrəgoʊld,mEregold
marijuana,mɛrəwɑnə,mErewane
marina,mərinə,merine
marine,mɚrin,m3rin
mark,mɑrk,mark
marker,mɑrkɚr,mark3r
market,mɑrkɪt,mark1t
marketing,mɑrkɪtɪŋ,mark1t1N
marks,mɑrks,marks
marmalade,mɑrməleɪd,marmel8d
maroon,mərun,merun
marriage,mɛrɪdʒ,mEr1G
married,mɛrid,mErid
marry,mɛri,mEri
marrying,mɛriɪŋ,mEri1N
mars,mɑrz,marz
marsh,mɑrʃ,marS
marshal,mɑrʃəl,marSel
marshall,mɑrʃəl,marSel
marshmallow,mɑrʃmɛloʊ,marSmElo
marsupials,mɑrsupiəlz,marsupielz
mart,mɑrt,mart
martha,mɑrθə,marTe
martial,mɑrʃəl,marSel
martin,mɑrtən,marten
martin,mɑrtɪn,mart1n
martyr,mɑrtɚr,mart3r
mary,mɛri,mEri
mascara,mæskɛrə,m@skEre
mash,mæʃ,m@S
mashed,mæʃt,m@St
mask,mæsk,m@sk
masked,mæskt,m@skt
masks,mæsks,m@sks
mass,mæs,m@s
masseur,məsɚr,mes3r
masseur,məsur,mesur
mast,mæst,m@st
master,mæstɚr,m@st3r
mat,mæt,m@t
match,mætʃ,m@C
matchbox,mætʃbɑks,m@Cbaks
matching,mætʃɪŋ,m@C1N
matchstick,mætʃstɪk,m@Cst1k
mate,meɪt,m8t
material,mətɪriəl,met1riel
mates,meɪts,m8ts
math,mæθ,m@T
mathematics,mæθmætɪks,m@Tm@t1ks
matriculate,mətrɪkjuleɪt,metr1kjul8t
matt,mæt,m@t
matter,mætɚr,m@t3r
matters,mætɚrz,m@t3rz
matthew,mæθju,m@Tju
mattress,mætrəs,m@tres
mauve,moʊv,mov
maw,mɔ,mc
max,mæks,m@ks
maximum,mæksəməm,m@ksemem
maxwell,mækswɛl,m@kswEl
may,meɪ,m8
maya,maɪə,m5e
maybe,meɪbi,m8bi
mayday,meɪdeɪ,m8d8
mayonnaise,meɪəneɪz,m8en8z
mayor,meɪɚr,m83r
maze,meɪz,m8z
me,mi,mi
mead,mid,mid
meadow,mɛdoʊ,mEdo
meal,mil,mil
mealtime,miltaɪm,milt5m
mean,min,min
meanie,mini,mini
meaning,minɪŋ,min1N
meaningless,minɪŋləs,min1Nles
meanness,minnəs,minnes
means,minz,minz
meant,mɛnt,mEnt
meantime,mintaɪm,mint5m
meanwhile,minwaɪl,minw5l
measles,mizəlz,mizelz
measure,mɛʒɚr,mEZ3r
measurement,mɛʒɚrmənt,mEZ3rment
measurer,mɛʒɚrɚr,mEZ3r3r
measures,mɛʒɚrz,mEZ3rz
meat,mit,mit
meatball,mitbɔl,mitbcl
meatloaf,mitloʊf,mitlof
meaty,miti,miti
mechanic,məkænɪk,mek@n1k
mechanic,mɪkænɪk,m1k@n1k
mechanical,məkənɪkəl,meken1kel
medal,mɛdəl,mEdel
medals,mɛdəlz,mEdelz
media,midiə,midie
medic,mɛdɪk,mEd1k
medical,mɛdɪkəl,mEd1kel
medical,mɛdəkəl,mEdekel
medication,mɛdəkeɪʃən,mEdek8Sen
medicine,mɛdəsən,mEdesen
medieval,mɪdivəl,m1divel
meditate,mɛdɪteɪt,mEd1t8t
mediterranean,mɛdɪtəreɪniən,mEd1ter8nien
medium,midiəm,midiem
meds,mɛdz,mEdz
meek,mik,mik
meet,mit,mit
meeting,mitɪŋ,mit1N
meg,mɛg,mEg
mega,mɛgə,mEge
mel,mɛl,mEl
meld,mɛld,mEld
melody,mɛlədi,mEledi
melon,mɛlən,mElen
melt,mɛlt,mElt
member,mɛmbɚr,mEmb3r
members,mɛmbɚrz,mEmb3rz
membership,mɛmbɚrʃɪp,mEmb3rS1p
memo,mɛmoʊ,mEmo
memorabilia,mɛmɚrəbiljə,mEm3rebilje
memories,mɛmɚriz,mEm3riz
memorize,mɛmɚraɪz,mEm3r5z
memory,mɛmɚri,mEm3ri
memphis,mɛmfəs,mEmfes
memphis,mɛmfɪs,mEmf1s
men,mɛn,mEn
menace,mɛnəs,mEnes
menace,mɛnɪs,mEn1s
mend,mɛnd,mEnd
mental,mɛntəl,mEntel
mentally,mɛntəli,mEnteli
menthol,mɛnθɑl,mEnTal
mention,mɛnʃən,mEnSen
mentioned,mɛnʃənd,mEnSend
menu,mɛnju,mEnju
meow,miaʊ,miO
merchandise,mɚrtʃəndaɪs,m3rCend5s
merci,mɛrsi,mErsi
merciful,mɚrsɪfəl,m3rs1fel
mercy,mɚrsi,m3rsi
mere,mɪr,m1r
merely,mɪrli,m1rli
merge,mɚrdʒ,m3rG
meringue,mɚræŋ,m3r@N
merit,mɛrɪt,mEr1t
merlin,mɚrlɪn,m3rl1n
mermaid,mɚrmeɪd,m3rm8d
merry,mɛri,mEri
mesh,mɛʃ,mES
mess,mɛs,mEs
message,mɛsədʒ,mEseG
messages,mɛsədʒəz,mEseGez
messages,mɛsədʒɪz,mEseG1z
messed,mɛst,mEst
messenger,mɛsɪndʒɚr,mEs1nG3r
messenger,mɛsəndʒɚr,mEsenG3r
messiah,məsaɪə,mes5e
messiness,mɛsinəs,mEsines
messy,mɛsi,mEsi
met,mɛt,mEt
metal,mɛtəl,mEtel
metaphor,mɛtəfɔr,mEtefcr
meteor,mitiɚr,miti3r
meter,mitɚr,mit3r
method,mɛθəd,mETed
methods,mɛθədz,mETedz
mew,mju,mju
mexico,mɛksəkoʊ,mEkseko
mia,miə,mie
miami,maɪæmi,m5@mi
mice,maɪs,m5s
michael,maɪkəl,m5kel
michigan,mɪʃɪgən,m1S1gen
mickey,mɪki,m1ki
microphone,maɪkrəfoʊn,m5krefon
microscope,maɪkroʊskoʊp,m5kroskop
microwave,maɪkroʊweɪv,m5krow8v
mid,mɪd,m1d
midday,mɪddeɪ,m1dd8
middle,mɪdəl,m1del
midget,mɪdʒɪt,m1G1t
midnight,mɪdnaɪt,m1dn5t
midst,mɪdst,m1dst
mig,mɪg,m1g
might,maɪt,m5t
mighty,maɪti,m5ti
mike,maɪk,m5k
mil,mɪl,m1l
mild,maɪld,m5ld
mildred,mɪldrɪd,m1ldr1d
mile,maɪl,m5l
miles,maɪlz,m5lz
military,mɪlɪtɛri,m1l1tEri
military,mɪlətɛri,m1letEri
militia,məlɪʃə,mel1Se
milk,mɪlk,m1lk
milkman,mɪlkmæn,m1lkm@n
milkshake,mɪlkʃeɪk,m1lkS8k
milky,mɪlki,m1lki
mill,mɪl,m1l
millennium,mɪlɛniəm,m1lEniem
miller,mɪlɚr,m1l3r
million,mɪljən,m1ljen
millionaire,mɪljənɛr,m1ljenEr
millions,mɪljənz,m1ljenz
mime,maɪm,m5m
mince,mɪns,m1ns
mind,maɪnd,m5nd
minds,maɪndz,m5ndz
mine,maɪn,m5n
miner,maɪnɚr,m5n3r
mineral,mɪnɚrəl,m1n3rel
mines,maɪnz,m5nz
mini,mɪni,m1ni
minister,mɪnɪstɚr,m1n1st3r
minister,mɪnəstɚr,m1nest3r
minivan,mɪnivæn,m1niv@n
mink,mɪŋk,m1Nk
mint,mɪnt,m1nt
minus,maɪnəs,m5nes
minute,mɪnət,m1net
minute,maɪnut,m5nut
minute,maɪnjut,m5njut
minutes,mɪnəts,m1nets
miracle,mɪrəkəl,m1rekel
miracles,mɪrəkəlz,m1rekelz
mirror,mɪrɚr,m1r3r
mirrors,mɪrɚrz,m1r3rz
mirth,mɚrθ,m3rT
misbehave,mɪsbəheɪv,m1sbeh8v
misbehave,mɪsbiheɪv,m1sbih8v
misbehavior,mɪsbəheɪvjɚr,m1sbeh8vj3r
misbehavior,mɪsbiheɪvjɚr,m1sbih8vj3r
miscellaneous,mɪsəleɪniəs,m1sel8nies
mischief,mɪstʃɪf,m1sC1f
miscreant,mɪskriənt,m1skrient
miserable,mɪzɚrəbəl,m1z3rebel
miserable,mɪzrəbəl,m1zrebel
misfit,mɪsfɪt,m1sf1t
miss,mɪs,m1s
missed,mɪst,m1st
misses,mɪsɪz,m1s1z
missile,mɪsəl,m1sel
missing,mɪsɪŋ,m1s1N
mission,mɪʃən,m1Sen
missy,mɪsi,m1si
mist,mɪst,m1st
mistake,mɪsteɪk,m1st8k
mistakes,mɪsteɪks,m1st8ks
mister,mɪstɚr,m1st3r
mistress,mɪstrəs,m1stres
misunderstood,misʌndɚrstʊd,mis^nd3rstUd
mitch,mɪtʃ,m1C
mite,maɪt,m5t
mitt,mɪt,m1t
mitten,mɪtən,m1ten
mitzvah,mɪtsvə,m1tsve
mix,mɪks,m1ks
mixed,mɪkst,m1kst
mixer,mɪksɚr,m1ks3r
mixture,mɪkstʃɚr,m1ksC3r
mnemonic,nəmɑnɪk,neman1k
moan,moʊn,mon
moaning,moʊnɪŋ,mon1N
moat,moʊt,mot
mob,mɑb,mab
moccasin,mɑkəsɪn,makes1n
mock,mɑk,mak
mode,moʊd,mod
model,mɑdəl,madel
modern,mɑdərn,madern
modest,mɑdəst,madest
module,mɑdʒul,maGul
moist,mɔɪst,m2st
moisture,mɔɪstʃɚr,m2sC3r
molar,moʊlɚr,mol3r
molasses,məlæsɪz,mel@s1z
mold,moʊld,mold
moldy,moʊldi,moldi
mole,moʊl,mol
moll,mɑl,mal
mollify,mɑləfaɪ,malef5
molly,mɑli,mali
mom,mɑm,mam
moment,moʊmənt,moment
moments,moʊmənts,moments
momma,mɑmə,mame
mommy,mɑmi,mami
moms,mɑmz,mamz
mon,moʊn,mon
mon,mɑn,man
monarch,mɑnɑrk,manark
monarchy,mɑnɑrki,manarki
monastery,mɑnəstɛri,manestEri
monday,mʌndeɪ,m^nd8
money,mʌni,m^ni
monica,mɑnɪkə,man1ke
monk,mʌŋk,m^Nk
monkey,mʌŋki,m^Nki
monopoly,mənɑpəli,menapeli
monsieur,məsjɚr,mesj3r
monster,mɑnstɚr,manst3r
montana,mɑntænə,mant@ne
monte,mɑnti,manti
montgomery,mɑntgʌmri,mantg^mri
month,mʌnθ,m^nT
monthly,mʌnθli,m^nTli
months,mʌnθs,m^nTs
monument,mɑnjumənt,manjument
moo,mu,mu
mood,mud,mud
moon,mun,mun
moonlight,munlaɪt,munl5t
moonlit,munlɪt,munl1t
moose,mus,mus
moot,mut,mut
mop,mɑp,map
mope,moʊp,mop
morale,məræl,mer@l
more,mɔr,mcr
moreover,mɔroʊvɚr,mcrov3r
morgan,mɔrgən,mcrgen
morn,mɔrn,mcrn
morning,mɔrnɪŋ,mcrn1N
moron,mɔrɑn,mcran
morose,məroʊs,meros
morphine,mɔrfin,mcrfin
morris,mɔrəs,mcres
morris,mɔrɪs,mcr1s
mortal,mɔrtəl,mcrtel
mortar,mɔrtɚr,mcrt3r
mortgage,mɔrgɪdʒ,mcrg1G
mosquito,məskitoʊ,meskito
moss,mɔs,mcs
most,moʊst,most
mostly,moʊstli,mostli
motel,moʊtɛl,motEl
moth,mɔθ,mcT
mother,mʌðɚr,m^D3r
motherfucker,mʌðɚrfʌkɚr,m^D3rf^k3r
motherhood,mʌðɚrhʊd,m^D3rhUd
motherless,mʌðɚrlɪs,m^D3rl1s
motion,moʊʃən,moSen
motive,moʊtɪv,mot1v
motor,moʊtɚr,mot3r
motorbike,moʊtɚrbaɪk,mot3rb5k
motorboat,moʊtɚrboʊt,mot3rbot
motorcycle,moʊtɚrsaɪkəl,mot3rs5kel
motto,mɑtoʊ,mato
mould,moʊld,mold
mound,maʊnd,mOnd
mount,maʊnt,mOnt
mountain,maʊntən,mOnten
mountains,maʊntənz,mOntenz
mourn,mɔrn,mcrn
mouse,maʊs,mOs
mousetrap,maʊstræp,mOstr@p
moustache,mʌstæʃ,m^st@S
mouth,maʊθ,mOT
mouthful,maʊθfʊl,mOTfUl
mouths,maʊðz,mODz
mouthy,maʊθi,mOTi
move,muv,muv
moved,muvd,muvd
movement,muvmənt,muvment
movements,muvmənts,muvments
moves,muvz,muvz
movie,muvi,muvi
movies,muviz,muviz
moving,muvɪŋ,muv1N
mow,moʊ,mo
mower,moʊɚr,mo3r
much,mʌtʃ,m^C
muck,mʌk,m^k
mud,mʌd,m^d
muddiness,mʌdinəs,m^dines
muddy,mʌdi,m^di
muff,mʌf,m^f
muffin,mʌfən,m^fen
mug,mʌg,m^g
muggy,mʌgi,m^gi
mulch,mʌltʃ,m^lC
